ACCTTYPE,IMPDESCRIPTION,EXT CONDITION,INT CONDITION,IMPQUALITY,AYB,EYB,IMPNETSF,BEDROOMCOUNT,BATHCOUNT,MaxOfCURR ACT,ECONOMICAREACODE
Residential,MANUFACTURED HOUSING,Average,,Average,1993,1993,924.0,3.0,2.0,59460,1
Residential,MANUFACTURED HOUSING,Below Average,,Average,1985,1985,1216.0,3.0,2.0,82200,1
Residential,Manufactured Housing,Average,,Fair,1983,1983,896.0,2.0,1.0,41930,1
Residential,MANUFACTURED HOUSING,Below Average,,Good,1994,1994,1654.0,3.0,2.0,146750,1
Residential,MANUFACTURED HOUSING,Average,,Good,1993,1993,1120.0,2.0,1.7,171990,1
Residential,MANUFACTURED HOUSING,Average,,Average,1993,1993,396.0,2.0,1.0,108110,8
Residential,MANUFACTURED HOUSING,Good,,Average,1994,1996,408.0,2.0,1.0,137180,8
Residential,Manufactured Housing,Average,,Average,1989,1989,924.0,3.0,2.0,54050,1
Residential,MANUFACTURED HOUSING,Average,,Average,1994,1994,924.0,2.0,2.0,54050,1
Residential,MANUFACTURED HOUSING,Average,,Average,1994,1994,1096.0,2.0,1.7,101870,1
Residential,MANUFACTURED HOUSING,Average,,Average,1995,1995,1178.0,3.0,2.0,99540,1
Residential,MANUFACTURED HOUSING,Average,,Average,1994,1994,1178.0,3.0,2.0,49770,1
Residential,MANUFACTURED HOUSING,Below Average,,Fair,1980,1980,784.0,2.0,1.0,41090,8
Residential,MANUFACTURED HOUSING,Average,,Good,1994,1994,1188.0,3.0,2.0,191120,1
Residential,MANUFACTURED HOUSING,Average,,Good,1995,1995,1444.0,3.0,1.5,232300,1
Residential,MANUFACTURED HOUSING,Average,,Average,1995,1995,924.0,2.0,1.0,54050,1
Residential,MANUFACTURED HOUSING,Average,,Average,1995,1995,1178.0,3.0,1.0,109500,1
Residential,MANUFACTURED HOUSING,Average,,Average,1992,1992,1064.0,3.0,2.0,87140,8
Residential,MANUFACTURED HOUSING,Average,,Good,1995,1995,1166.0,3.0,2.0,170530,1
Residential,MANUFACTURED HOUSING,Average,,Average,1994,1994,1027.0,2.0,2.0,162210,2
Residential,RANCH MANUFACTURED,Average,,Good,1993,1993,1809.0,3.0,2.0,277790,8
Residential,RANCH MANUFACTURED,Average,,Good,1994,1994,2090.0,3.0,1.0,320950,8
Residential,MANUFACTURED HOUSING,Average,,Average,1995,1995,1039.0,3.0,2.0,96580,1
Residential,RANCH MANUFACTURED,Average,,Average,1971,1975,1344.0,3.0,1.0,119250,8
Residential,MANUFACTURED HOUSING,Average,,Average,1995,1995,924.0,2.0,2.0,59460,1
Residential,MANUFACTURED HOUSING,Average,,Fair,1974,1974,980.0,2.0,1.0,50450,1
Residential,MANUFACTURED HOUSING,Average,,Good,1994,1994,1554.0,3.0,2.0,250000,1
Residential,MANUFACTURED HOUSING,Average,,Average,1995,1995,1280.0,3.0,2.0,108160,1
Residential,MANUFACTURED HOUSING,Good,,Average,1995,2000,1216.0,3.0,2.0,73260,2
Residential,MANUFACTURED HOUSING,Average,,Average,1995,1995,1280.0,3.0,2.0,60450,2
Residential,MANUFACTURED HOUSING,Average,,Average,1995,1995,1280.0,3.0,2.0,61090,2
Residential,MANUFACTURED HOUSING,Average,,Average,1995,1995,891.0,2.0,1.0,59940,1
Residential,MANUFACTURED HOUSING,Average,,Good,1967,1968,460.0,2.0,1.0,103060,8
Residential,MANUFACTURED HOUSING,Average,,Average,1995,1995,840.0,2.0,1.0,54050,1
Residential,MANUFACTURED HOUSING,Average,,Average,1994,1994,728.0,0.0,1.0,42590,1
Residential,MANUFACTURED HOUSING,Average,,Average,1993,1993,868.0,3.0,2.0,77010,1
Residential,MANUFACTURED HOUSING,Below Average,,Fair,1974,1974,980.0,2.0,1.0,40360,1
Residential,MANUFACTURED HOUSING,Average,,Low,1972,1975,728.0,2.0,1.0,74740,2
Residential,MANUFACTURED HOUSING,Average,,Good,1995,1995,2680.0,3.0,2.0,457280,1
Residential,MANUFACTURED HOUSING,Average,,Average,1970,1985,940.0,2.0,1.0,51320,8
Residential,MANUFACTURED HOUSING,Average,,Good,1994,1994,1760.0,2.0,2.0,270270,8
Residential,Manufactured Housing,Average,,Average,2000,2000,396.0,2.0,1.0,114110,8
Residential,Manufactured Housing,Average,,Average,2000,2000,396.0,2.0,1.0,113020,8
